ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
24571,JC286876,05/31/2019 08:28:00 PM,074XX S CHAPPEL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0333,003,5,43,01A,1191172,1855922,2019,06/20/2020 03:48:45 PM,41.759656906,-87.574916355,"(41.759656906, -87.574916355)"
20738,HT390685,12/21/2012 01:04:00 PM,072XX S DOBSON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0324,003,5,69,01A,1184474,1857284,2012,07/25/2019 04:04:18 PM,41.763553787,-87.599421513,"(41.763553787, -87.599421513)"
20877,T354047,05/12/2013 11:50:00 AM,021XX E 73RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0333,003,5,43,01A,1191675,1856981,2013,07/25/2019 04:04:18 PM,41.762550703,-87.573038597,"(41.762550703, -87.573038597)"
24692,JC392836,08/15/2019 07:30:00 PM,001XX E 61ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,true,0311,003,20,40,01A,1178535,1864609,2019,06/20/2020 03:48:45 PM,41.78379134,-87.620966612,"(41.78379134, -87.620966612)"
25410,JD346950,08/27/2020 12:44:00 PM,061XX S EVANS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0313,003,20,42,01A,1182277,1864467,2020,09/03/2020 03:49:17 PM,41.783315787,-87.607251618,"(41.783315787, -87.607251618)"
24391,JC135222,01/31/2019 11:45:00 AM,014XX E 70TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,0332,003,5,43,01A,1187324,1858875,2019,06/20/2020 03:48:45 PM,41.767852431,-87.588925347,"(41.767852431, -87.588925347)"
24898,JB189493,03/17/2018 04:25:00 PM,063XX S RHODES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0312,003,20,42,01A,1180992,1863065,2018,01/08/2020 03:47:27 PM,41.779498245,-87.61200593,"(41.779498245, -87.61200593)"
24889,JD101272,01/02/2020 02:54:00 AM,072XX S SOUTH SHORE DR,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0334,003,7,43,01A,1194878,1857803,2020,06/20/2020 03:48:45 PM,41.764728045,-87.561272312,"(41.764728045, -87.561272312)"
25702,JE102438,01/03/2021 08:09:00 PM,068XX S STONY ISLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0332,003,5,43,01A,1188038,1860051,2021,01/10/2021 03:51:53 PM,41.771062488,-87.586270811,"(41.771062488, -87.586270811)"
24163,JB421002,09/04/2018 09:07:00 AM,072XX S BENNETT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0324,003,5,43,01A,1189962,1857296,2018,06/20/2020 03:48:45 PM,41.763456466,-87.579306774,"(41.763456466, -87.579306774)"
25684,JD469257,12/25/2020 11:18:00 PM,073XX S KENWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0324,003,8,43,01A,1186477,1856674,2020,01/01/2021 03:51:11 PM,41.761832761,-87.592099464,"(41.761832761, -87.592099464)"
25105,JD241035,05/23/2020 10:39:00 PM,061XX S INDIANA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0311,003,20,40,01A,1178650,1864408,2020,06/20/2020 03:48:45 PM,41.78323716,-87.620551093,"(41.78323716, -87.620551093)"
24439,JC190708,03/18/2019 07:42:00 PM,060XX S PRAIRIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0311,003,20,40,01A,1179077,1864955,2019,06/20/2020 03:48:45 PM,41.784728458,-87.618968921,"(41.784728458, -87.618968921)"
24923,JB467943,10/09/2018 05:27:00 PM,070XX S MERRILL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0331,003,5,43,01A,1191764,1858618,2018,06/20/2020 03:48:45 PM,41.767040601,-87.572659346,"(41.767040601, -87.572659346)"
23173,JA173527,03/03/2017 01:45:00 PM,073XX S KENWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,0324,003,8,43,01A,1186479,1856599,2017,06/20/2020 03:48:45 PM,41.761626906,-87.592094503,"(41.761626906, -87.592094503)"
24564,JC282729,05/29/2019 12:50:00 AM,066XX S BLACKSTONE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0321,003,5,42,01A,1187337,1861066,2019,06/20/2020 03:48:45 PM,41.773864414,-87.588808175,"(41.773864414, -87.588808175)"
24608,JC311051,06/18/2019 06:06:00 AM,065XX S DR MARTIN LUTHER KING JR DR,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0312,003,20,69,01A,1180044,1861789,2019,06/20/2020 03:48:45 PM,41.776018543,-87.615520426,"(41.776018543, -87.615520426)"
3282,HL520836,08/01/2005 10:55:00 AM,023XX E 70TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0331,003,5,43,01A,1193221,1859006,2005,06/20/2020 03:48:45 PM,41.768069819,-87.567306284,"(41.768069819, -87.567306284)"
25158,JD251109,06/02/2020 01:28:00 PM,020XX E 70TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0331,003,5,43,01A,1191240,1858962,2020,06/20/2020 03:48:45 PM,41.767997265,-87.574568861,"(41.767997265, -87.574568861)"
24724,JC415562,09/01/2019 03:12:00 AM,061XX S ST LAWRENCE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,0313,003,20,42,01A,1181289,1864510,2019,06/20/2020 03:48:45 PM,41.78345662,-87.610872595,"(41.78345662, -87.610872595)"
24940,JD143446,02/07/2020 07:41:00 PM,000XX E 71ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,RETAIL STORE,true,false,0322,003,6,69,01A,1178170,1857963,2020,02/14/2020 03:52:16 PM,41.76556231,-87.622506226,"(41.76556231, -87.622506226)"
25696,JD474021,12/30/2020 09:38:00 PM,066XX S STATE ST,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,false,false,0322,003,20,69,01A,1177427,1860815,2020,01/06/2021 03:49:15 PM,41.773405326,-87.625143469,"(41.773405326, -87.625143469)"
25177,HH547573,03/14/2020 06:26:00 PM,070XX S PAXTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0331,003,5,43,01A,1192092,1858897,2020,06/20/2020 03:48:45 PM,41.767798232,-87.571448056,"(41.767798232, -87.571448056)"
24947,JD145361,02/09/2020 05:27:00 AM,072XX S BENNETT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0324,003,7,43,01A,1189963,1857256,2020,06/20/2020 03:48:45 PM,41.763346678,-87.579304394,"(41.763346678, -87.579304394)"
25127,JD247157,05/30/2020 02:35:00 AM,062XX S DR MARTIN LUTHER KING JR DR,0110,HOMICIDE,FIRST DEGREE MURDER,CHA HALLWAY,true,false,0311,003,20,40,01A,1179993,1863671,2020,06/20/2020 03:48:45 PM,41.781184105,-87.615649806,"(41.781184105, -87.615649806)"
24763,JC445987,09/24/2019 02:54:00 AM,000XX E 74TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0323,003,6,69,01A,1178163,1855970,2019,06/20/2020 03:48:45 PM,41.760093457,-87.622592241,"(41.760093457, -87.622592241)"
25007,JD201407,04/03/2020 07:26:00 PM,017XX E 69TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0332,003,5,43,01A,1188839,1859572,2020,06/20/2020 03:48:45 PM,41.769728942,-87.583349993,"(41.769728942, -87.583349993)"
23676,JA492780,10/31/2017 10:22:00 AM,073XX S OGLESBY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0334,003,7,43,01A,1193146,1856782,2017,06/20/2020 03:48:45 PM,41.761968828,-87.567653754,"(41.761968828, -87.567653754)"
